iter	Passed	Remaining
0	149	44717
1	152	22679
2	154	15255
3	155	11542
4	158	9327
5	159	7836
6	162	6790
7	164	6012
8	166	5374
9	167	4866
10	169	4459
11	171	4113
12	172	3807
13	174	3560
14	175	3342
15	177	3150
16	179	2987
17	181	2841
18	182	2705
19	184	2584
20	186	2475
21	187	2374
22	189	2280
23	190	2195
24	192	2120
25	194	2050
26	196	1984
27	198	1924
28	199	1864
29	201	1810
30	202	1759
31	204	1711
32	205	1666
33	207	1624
34	209	1584
35	210	1546
36	212	1511
37	214	1477
38	215	1445
39	217	1414
40	219	1384
41	220	1356
42	222	1330
43	224	1306
44	227	1286
45	228	1263
46	230	1241
47	232	1221
48	234	1202
49	236	1182
50	252	1233
51	254	1215
52	256	1196
53	258	1178
54	260	1161
55	262	1145
56	264	1127
57	266	1112
58	268	1097
59	270	1081
60	272	1065
61	274	1052
62	275	1037
63	277	1024
64	279	1011
65	281	998
66	283	985
67	285	974
68	287	962
69	289	949
70	291	938
71	292	927
72	294	916
73	297	907
74	299	897
75	300	887
76	303	877
77	304	867
78	306	858
79	308	849
80	310	840
81	312	831
82	315	823
83	316	815
84	318	806
85	320	798
86	323	790
87	324	782
88	327	775
89	328	767
90	330	759
91	332	752
92	334	743
93	335	735
94	337	729
95	339	721
96	341	713
97	342	706
98	344	699
99	346	692
100	347	685
101	349	678
102	351	672
103	353	666
104	355	659
105	357	653
106	358	646
107	360	641
108	362	636
109	364	629
110	366	624
111	368	619
112	370	613
113	372	608
114	375	603
115	377	598
116	379	593
117	381	587
118	383	582
119	385	577
120	386	572
121	388	566
122	390	561
123	392	556
124	393	551
125	395	546
126	397	540
127	398	535
128	400	530
129	402	525
130	403	520
131	405	516
132	407	511
133	408	506
134	410	501
135	412	497
136	414	493
137	416	488
138	418	484
139	420	480
140	422	476
141	424	472
142	425	467
143	427	463
144	430	459
145	431	455
146	433	451
147	435	447
148	437	443
149	439	439
150	441	435
151	444	432
152	445	428
153	447	424
154	449	420
155	451	416
156	453	413
157	455	409
158	457	405
159	459	402
160	462	398
161	464	395
162	466	391
163	468	388
164	470	384
165	472	381
166	474	377
167	475	373
168	477	369
169	478	366
170	480	362
171	482	359
172	484	355
173	485	351
174	487	348
175	489	344
176	491	341
177	493	338
178	495	334
179	497	331
180	499	328
181	501	325
182	503	321
183	505	318
184	507	315
185	508	311
186	510	308
187	512	305
188	514	302
189	516	299
190	518	296
191	520	292
192	522	289
193	524	286
194	526	283
195	529	280
196	531	277
197	533	274
198	535	271
199	537	268
200	539	265
201	541	262
202	543	259
203	545	256
204	547	253
205	549	250
206	551	247
207	553	244
208	555	241
209	557	239
210	559	236
211	561	233
212	563	230
213	565	227
214	567	224
215	569	221
216	571	218
217	572	215
218	574	212
219	576	209
220	578	206
221	580	204
222	582	201
223	584	198
224	586	195
225	588	192
226	590	189
227	592	187
228	593	184
229	595	181
230	597	178
231	599	175
232	600	172
233	602	169
234	604	167
235	606	164
236	608	161
237	610	158
238	612	156
239	614	153
240	616	150
241	618	148
242	619	145
243	621	142
244	623	139
245	625	137
246	627	134
247	629	131
248	631	129
249	633	126
250	635	124
251	638	121
252	639	118
253	641	116
254	643	113
255	644	110
256	646	108
257	648	105
258	650	102
259	651	100
260	653	97
261	655	95
262	657	92
263	659	89
264	660	87
265	662	84
266	663	82
267	665	79
268	666	76
269	668	74
270	669	71
271	671	69
272	672	66
273	674	63
274	675	61
275	677	58
276	679	56
277	681	53
278	682	51
279	684	48
280	686	46
281	688	43
282	690	41
283	692	38
284	693	36
285	695	34
286	697	31
287	698	29
288	700	26
289	702	24
290	704	21
291	706	19
292	708	16
293	709	14
294	711	12
295	713	9
296	715	7
297	716	4
298	718	2
299	720	0
