feature,importance_mean,importance_std
v040,0.15868544600938972,0.02854212986586041
v312,0.009859154929577535,0.0046713025216273425
v106,0.0077464788732394705,0.0026867425216571734
v116,0.007276995305164374,0.005243734249692193
v445,0.004225352112676106,0.007408325745567845
v208,0.004225352112676095,0.003286384976525834
v190a,0.0021126760563380696,0.008329199530145642
v013,0.0018779342723005022,0.0027375361008663644
v463a,0.0011737089201878104,0.002032923483062092
v213,0.00023474178403756207,0.0010232157144461822
v133,3.3306690738754695e-17,0.00514293481225509
had_recent_birth,-0.001877934272300441,0.0031142016810848773
v201,-0.002112676056337992,0.004569934820171763
secoreg,-0.0023474178403755487,0.006030625623786435
v404,-0.0023474178403755652,0.0023474178403755652
antenatal_visits_filled,-0.004460093896713579,0.004059064898072883
v024,-0.0046948356807511304,0.013361736592260767
v012,-0.007042253521126712,0.005454906121418873
v113,-0.007746478873239387,0.004758951862139262
