,XGBoost,RandomForest,LightGBM,LogisticRegression,SVM
antenatal_visits_filled,0.026793735,0.005728723452279212,0.0657342537659084,0.02015707337163889,0.004579800077466971
had_recent_birth,0.008808048,0.0019508449352481432,0.036069432531307184,0.0,0.0
had_recent_birth_1,0.0,0.0,0.0,0.00893933039838279,0.0012771739998375545
secoreg,0.00623697,0.04961118037913906,0.03952237516557385,0.0,0.0
secoreg_2,0.0,0.0,0.0,0.13820676025566866,0.013674582244600369
secoreg_3,0.0,0.0,0.0,0.33714941420823513,0.030979324203441013
v012,0.08237806,0.012734789784758794,0.2105585634242049,0.11093864276190397,0.004283919468140744
v013,0.0,0.008504990224394016,0.002135817763599591,0.0,0.0
v013_2,0.0,0.0,0.0,0.005847442229043927,0.0014959086374743485
v013_3,0.0,0.0,0.0,0.08937214147238144,0.00033362534642003295
v013_4,0.0,0.0,0.0,0.10611719553782477,0.0018462134561669085
v013_5,0.0,0.0,0.0,0.05522353171698478,0.0010092020626407895
v013_6,0.0,0.0,0.0,0.11941086888984652,0.0009127024254116912
v013_7,0.0,0.0,0.0,0.027660061018886083,0.00041922687976065395
v024,0.139552,0.022190125939252833,0.2029413312435967,0.0,0.0
v024_2,0.0,0.0,0.0,0.17965998077642137,0.012590221719944757
v024_3,0.0,0.0,0.0,0.10398528344461896,0.0024259701936765374
v024_4,0.0,0.0,0.0,0.13807718331350982,0.0013101609427221374
v024_5,0.0,0.0,0.0,0.19671120922230262,0.005813417833666935
v024_6,0.0,0.0,0.0,0.11688008225141634,0.0003299956453760131
v024_7,0.0,0.0,0.0,0.06783466671557625,0.002441667724669967
v040,0.680593,0.0932977540591666,0.7432142422991642,0.028237550178340967,0.04259112729900122
v106,0.00983509,0.0031323897165868556,0.0332787433610301,0.0,0.0
v106_1,0.0,0.0,0.0,0.011233246023133338,0.0007095094238114641
v106_2,0.0,0.0,0.0,0.043692856788170406,0.0012565962266803201
v106_3,0.0,0.0,0.0,0.03928227935003428,0.0007086331846369262
v113,0.0148777915,0.017211710883891954,0.06273777769094899,0.0,0.0
v113_12,0.0,0.0,0.0,0.05168013582611845,0.0012880554920421555
v113_13,0.0,0.0,0.0,0.012270694461495295,0.0002767246480162711
v113_14,0.0,0.0,0.0,0.011859246451973376,0.0014595865447063227
v113_21,0.0,0.0,0.0,0.10875590079335735,0.010812309587792333
v113_31,0.0,0.0,0.0,0.002800755885189039,0.0
v113_32,0.0,0.0,0.0,0.006284782881845708,0.0
v113_41,0.0,0.0,0.0,0.010012211292792261,0.0003498091427902554
v113_42,0.0,0.0,0.0,0.001633363442276782,0.00039770837143767704
v113_43,0.0,0.0,0.0,0.010927938766216321,0.0
v113_71,0.0,0.0,0.0,0.0,0.0
v113_96,0.0,0.0,0.0,0.0,0.0
v113_97,0.0,0.0,0.0,0.009960789887308842,0.0006443368922448506
v116,0.05079678,0.012937748899841542,0.0966449945480132,0.0,0.0
v116_12,0.0,0.0,0.0,0.12195314739481113,0.0006277821524244167
v116_13,0.0,0.0,0.0,0.17683663329036364,0.0028930535879657347
v116_14,0.0,0.0,0.0,0.00033386819447981086,0.0
v116_15,0.0,0.0,0.0,0.00028455235074920944,0.0
v116_21,0.0,0.0,0.0,0.008072992560133009,0.0
v116_22,0.0,0.0,0.0,0.03859172789682787,0.0005211871479939632
v116_23,0.0,0.0,0.0,0.005575125371365485,0.0007614321740979259
v116_31,0.0,0.0,0.0,0.0002783905497730881,0.0006374788316422951
v116_45,0.0,0.0,0.0,0.026514405932838082,0.0007960450194657711
v116_97,0.0,0.0,0.0,0.009960789887308842,0.00040106506633435406
v133,0.047519073,0.009432461817733892,0.12322298454320828,0.012840098833707734,0.005780807209819693
v190a,0.020506402,0.013056293994542978,0.05065933111229788,0.0,0.0
v190a_2,0.0,0.0,0.0,0.0418605142627721,0.0012468876933554296
v190a_3,0.0,0.0,0.0,0.007470588862842415,0.0012187616860778476
v190a_4,0.0,0.0,0.0,0.02240988403844961,0.0006956770164240906
v190a_5,0.0,0.0,0.0,0.01823874759991628,0.0010039810252967403
